Station;year;month;day;601;pc
3427050;2016;1;27;0;24
3427050;2016;1;28;0;24
3427050;2016;1;29;0;24
3427050;2016;1;30;0;24
3427050;2016;1;31;0;24
3427050;2016;2;1;0;24
3427050;2016;2;2;0;24
3427050;2016;2;3;0;24
3427050;2016;2;4;0;24
3427050;2016;2;5;0;24
3427050;2016;2;6;0;24
3427050;2016;2;7;0;24
3427050;2016;2;8;2,6;24
3427050;2016;2;9;3,1;24
3427050;2016;2;10;0;24
3427050;2016;2;11;0;24
3427050;2016;2;12;0;24
3427050;2016;2;13;0;24
3427050;2016;2;14;0;24
3427050;2016;2;15;0,9;24
3427050;2016;2;16;0;24
3427050;2016;2;17;8,2;24
3427050;2016;2;18;0,2;24
3427050;2016;2;19;0;24
3427050;2016;2;20;0;24
3427050;2016;2;21;0;24
3427050;2016;2;22;0;24
3427050;2016;2;23;0;24
3427050;2016;2;24;0;24
3427050;2016;2;25;1;24
3427050;2016;2;26;0;24
3427050;2016;2;27;1,1;24
3427050;2016;2;28;6,4;24
3427050;2016;2;29;0;24
3427050;2016;3;1;0,6;24
3427050;2016;3;2;2,1;24
3427050;2016;3;3;0;24
3427050;2016;3;4;4,9;24
3427050;2016;3;5;0,2;24
3427050;2016;3;6;0;24
3427050;2016;3;7;0;24
3427050;2016;3;8;0;24
3427050;2016;3;9;1,9;24
3427050;2016;3;10;0;24
3427050;2016;3;11;0;24
3427050;2016;3;12;0;24
3427050;2016;3;13;0;24
3427050;2016;3;14;0;24
3427050;2016;3;15;0;24
3427050;2016;3;16;0;24
3427050;2016;3;17;0;24
3427050;2016;3;18;3,7;24
3427050;2016;3;19;0,2;24
3427050;2016;3;20;0;24
3427050;2016;3;21;0;24
3427050;2016;3;22;0;24
3427050;2016;3;23;0;24
3427050;2016;3;24;0;24
3427050;2016;3;25;0;24
3427050;2016;3;26;0;24
3427050;2016;3;27;1,5;24
3427050;2016;3;28;1,2;24
3427050;2016;3;29;0,1;24
3427050;2016;3;30;0;24
3427050;2016;3;31;0;24
3427050;2016;4;1;0;24
3427050;2016;4;2;0;24
3427050;2016;4;3;0;24
3427050;2016;4;4;0;24
3427050;2016;4;5;1,2;24
3427050;2016;4;6;3,5;24
3427050;2016;4;7;11,1;24
3427050;2016;4;8;0;24
3427050;2016;4;9;0;24
3427050;2016;4;10;4,2;24
3427050;2016;4;11;0;24
3427050;2016;4;12;0;24
3427050;2016;4;13;0;24
3427050;2016;4;14;0;24
3427050;2016;4;15;0;24
3427050;2016;4;16;0;24
3427050;2016;4;17;0,5;24
3427050;2016;4;18;0;24
3427050;2016;4;19;0;24
3427050;2016;4;20;0;24
3427050;2016;4;21;4;24
3427050;2016;4;22;0;24
3427050;2016;4;23;0;24
3427050;2016;4;24;0;24
3427050;2016;4;25;0;24
3427050;2016;4;26;0;24
3427050;2016;4;27;0;24
